COD;DESC;COMP;LARG;PESO
40139;ISOPAINEL 2F150 - 5000MM;5;1,15;5,75
40140;ISOPAINEL 2F150 - 5100MM;5,1;1,15;5,865
40141;ISOPAINEL 2F150 - 5200MM;5,2;1,15;5,98
40142;ISOPAINEL 2F150 - 5300MM;5,3;1,15;6,095
40143;ISOPAINEL 2F150 - 5400MM;5,4;1,15;6,21
40144;ISOPAINEL 2F150 - 5500MM;5,5;1,15;6,325
40145;ISOPAINEL 2F150 - 5600MM;5,6;1,15;6,44
40146;ISOPAINEL 2F150 - 5700MM;5,7;1,15;6,555
40147;ISOPAINEL 2F150 - 5800MM;5,8;1,15;6,67
40148;ISOPAINEL 2F150 - 5900MM;5,9;1,15;6,785
40149;ISOPAINEL 2F150 - 6000MM;6;1,15;6,9
40150;ISOPAINEL 2F200 M2;1;1;1
40151;ISOPAINEL 2F200 - 2000MM;2;1,15;2,3
40152;ISOPAINEL 2F200 - 2100MM;2,1;1,15;2,415
40153;ISOPAINEL 2F200 - 2200MM;2,2;1,15;2,53
40154;ISOPAINEL 2F200 - 2300MM;2,3;1,15;2,645
40155;ISOPAINEL 2F200 - 2400MM;2,4;1,15;2,76
40156;ISOPAINEL 2F200 - 2500MM;2,5;1,15;2,875
40157;ISOPAINEL 2F200 - 2600MM;2,6;1,15;2,99
40158;ISOPAINEL 2F200 - 2700MM;2,7;1,15;3,105
40159;ISOPAINEL 2F200 - 2800MM;2,8;1,15;3,22
40160;ISOPAINEL 2F200 - 2900MM;2,9;1,15;3,335
40161;ISOPAINEL 2F200 - 3000MM;3;1,15;3,45
40162;ISOPAINEL 2F200 - 3100MM;3,1;1,15;3,565
40163;ISOPAINEL 2F200 - 3200MM;3,2;1,15;3,68
40164;ISOPAINEL 2F200 - 3300MM;3,3;1,15;3,795
40165;ISOPAINEL 2F200 - 3400MM;3,4;1,15;3,91
40166;ISOPAINEL 2F200 - 3500MM;3,5;1,15;4,025
40167;ISOPAINEL 2F200 - 3600MM;3,6;1,15;4,14
40168;ISOPAINEL 2F200 - 3700MM;3,7;1,15;4,255
40169;ISOPAINEL 2F200 - 3800MM;3,8;1,15;4,37
40170;ISOPAINEL 2F200 - 3900MM;3,9;1,15;4,485
40171;ISOPAINEL 2F200 - 4000MM;4;1,15;4,6
40172;ISOPAINEL 2F200 - 4100MM;4,1;1,15;4,715
40173;ISOPAINEL 2F200 - 4200MM;4,2;1,15;4,83
40174;ISOPAINEL 2F200 - 4300MM;4,3;1,15;4,945
40175;ISOPAINEL 2F200 - 4400MM;4,4;1,15;5,06
40176;ISOPAINEL 2F200 - 4500MM;4,5;1,15;5,175
40177;ISOPAINEL 2F200 - 4600MM;4,6;1,15;5,29
40178;ISOPAINEL 2F200 - 4700MM;4,7;1,15;5,405
40179;ISOPAINEL 2F200 - 4800MM;4,8;1,15;5,52
40180;ISOPAINEL 2F200 - 4900MM;4,9;1,15;5,635
40181;ISOPAINEL 2F200 - 5000MM;5;1,15;5,75
40182;ISOPAINEL 2F200 - 5100MM;5,1;1,15;5,865
40183;ISOPAINEL 2F200 - 5200MM;5,2;1,15;5,98
40184;ISOPAINEL 2F200 - 5300MM;5,3;1,15;6,095
40185;ISOPAINEL 2F200 - 5400MM;5,4;1,15;6,21
40186;ISOPAINEL 2F200 - 5500MM;5,5;1,15;6,325
40187;ISOPAINEL 2F200 - 5600MM;5,6;1,15;6,44
40188;ISOPAINEL 2F200 - 5700MM;5,7;1,15;6,555
40189;ISOPAINEL 2F200 - 5800MM;5,8;1,15;6,67
40190;ISOPAINEL 2F200 - 5900MM;5,9;1,15;6,785
40191;ISOPAINEL 2F200 - 6000MM;6;1,15;6,9
40700;ISOPAINEL 1F 50 M2;1;1;1
40701;ISOPAINEL 1F 50 - 2100MM;2,1;1,15;2,415
40702;ISOPAINEL 1F 50 - 2200MM;2,2;1,15;2,53
40703;ISOPAINEL 1F 50 - 2300MM;2,3;1,15;2,645
40704;ISOPAINEL 1F 50 - 2400MM;2,4;1,15;2,76
40705;ISOPAINEL 1F 50 - 2500MM;2,5;1,15;2,875
40706;ISOPAINEL 1F 50 - 2600MM;2,6;1,15;2,99
40707;ISOPAINEL 1F 50 - 2700MM;2,7;1,15;3,105
40708;ISOPAINEL 1F 50 - 2800MM;2,8;1,15;3,22
40709;ISOPAINEL 1F 50 - 2900MM;2,9;1,15;3,335
40710;ISOPAINEL 1F 50 - 3000MM;3;1,15;3,45
40711;ISOPAINEL 1F 50 - 3100MM;3,1;1,15;3,565
40712;ISOPAINEL 1F 50 - 3200MM;3,2;1,15;3,68
40713;ISOPAINEL 1F 50 - 3300MM;3,3;1,15;3,795
40714;ISOPAINEL 1F 50 - 3400MM;3,4;1,15;3,91
40715;ISOPAINEL 1F 50 - 3500MM;3,5;1,15;4,025
40716;ISOPAINEL 1F 50 - 3600MM;3,6;1,15;4,14
40717;ISOPAINEL 1F 50 - 3700MM;3,7;1,15;4,255
40718;ISOPAINEL 1F 50 - 3800MM;3,8;1,15;4,37
40719;ISOPAINEL 1F 50 - 3900MM;3,9;1,15;4,485
40720;ISOPAINEL 1F 50 - 4000MM;4;1,15;4,6
40721;ISOPAINEL 2F 50 M2;1;1;1
40722;ISOPAINEL 2F 50 - 2100MM;2,1;1,15;2,415
40723;ISOPAINEL 2F 50 - 2200MM;2,2;1,15;2,53
40724;ISOPAINEL 2F 50 - 2300MM;2,3;1,15;2,645
40725;ISOPAINEL 2F 50 - 2400MM;2,4;1,15;2,76
40726;ISOPAINEL 2F 50 - 2500MM;2,5;1,15;2,875
40727;ISOPAINEL 2F 50 - 2600MM;2,6;1,15;2,99
40728;ISOPAINEL 2F 50 - 2700MM;2,7;1,15;3,105
40729;ISOPAINEL 2F 50 - 2800MM;2,8;1,15;3,22
40730;ISOPAINEL 2F 50 - 2900MM;2,9;1,15;3,335
40731;ISOPAINEL 2F 50 - 3000MM;3;1,15;3,45
40732;ISOPAINEL 2F 50 - 3100MM;3,1;1,15;3,565
40733;ISOPAINEL 2F 50 - 3200MM;3,2;1,15;3,68
40734;ISOPAINEL 2F 50 - 3300MM;3,3;1,15;3,795
40735;ISOPAINEL 2F 50 - 3400MM;3,4;1,15;3,91
40736;ISOPAINEL 2F 50 - 3500MM;3,5;1,15;4,025
40737;ISOPAINEL 2F 50 - 3600MM;3,6;1,15;4,14
40738;ISOPAINEL 2F 50 - 3700MM;3,7;1,15;4,255
40739;ISOPAINEL 2F 50 - 3800MM;3,8;1,15;4,37
40740;ISOPAINEL 2F 50 - 3900MM;3,9;1,15;4,485
40741;ISOPAINEL 2F 50 - 4000MM;4;1,15;4,6
40192;ISOPAINEL ZP100 M2;1;1;1
40193;ISOPAINEL ZP100 - 1200MM;1,2;1,15;1,38
40194;ISOPAINEL ZP100 - 1300MM;1,3;1,15;1,495
40195;ISOPAINEL ZP100 - 1400MM;1,4;1,15;1,61
40196;ISOPAINEL ZP100 - 1500MM;1,5;1,15;1,725
40197;ISOPAINEL ZP100 - 1600MM;1,6;1,15;1,84
40198;ISOPAINEL ZP100 - 1700MM;1,7;1,15;1,955
40199;ISOPAINEL ZP100 - 1800MM;1,8;1,15;2,07
40200;ISOPAINEL ZP100 - 1900MM;1,9;1,15;2,185
40201;ISOPAINEL ZP100 - 2000MM;2;1,15;2,3
40202;ISOPAINEL ZP100 - 2100MM;2,1;1,15;2,415
40203;ISOPAINEL ZP100 - 2200MM;2,2;1,15;2,53
40204;ISOPAINEL ZP100 - 2300MM;2,3;1,15;2,645
40205;ISOPAINEL ZP100 - 2400MM;2,4;1,15;2,76
40206;ISOPAINEL ZP100 - 2500MM;2,5;1,15;2,875
40207;ISOPAINEL ZP100 - 2600MM;2,6;1,15;2,99
40208;ISOPAINEL ZP100 - 2700MM;2,7;1,15;3,105
40209;ISOPAINEL ZP100 - 2800MM;2,8;1,15;3,22
40210;ISOPAINEL ZP100 - 2900MM;2,9;1,15;3,335
40211;ISOPAINEL ZP100 - 3000MM;3;1,15;3,45
40212;ISOPAINEL ZP100 - 3100MM;3,1;1,15;3,565
40213;ISOPAINEL ZP100 - 3200MM;3,2;1,15;3,68
40214;ISOPAINEL ZP100 - 3300MM;3,3;1,15;3,795
40215;ISOPAINEL ZP100 - 3400MM;3,4;1,15;3,91
40216;ISOPAINEL ZP100 - 3500MM;3,5;1,15;4,025
40217;ISOPAINEL ZP100 - 3650MM;3,65;1,15;4,1975
40218;ISOPAINEL ZP100 - 3700MM;3,7;1,15;4,255
40219;ISOPAINEL ZP100 - 3800MM;3,8;1,15;4,37
40220;ISOPAINEL ZP100 - 3900MM;3,9;1,15;4,485
40221;ISOPAINEL ZP100 - 4000MM;4;1,15;4,6
40222;ISOPAINEL ZP100 - 4100MM;4,1;1,15;4,715
40223;ISOPAINEL ZP100 - 4200MM;4,2;1,15;4,83
40224;ISOPAINEL ZP100 - 4300MM;4,3;1,15;4,945
40225;ISOPAINEL ZP100 - 4400MM;4,4;1,15;5,06
40226;ISOPAINEL ZP100 - 4500MM;4,5;1,15;5,175
40227;ISOPAINEL ZP100 - 4600MM;4,6;1,15;5,29
40228;ISOPAINEL ZP100 - 4700MM;4,7;1,15;5,405
40229;ISOPAINEL ZP100 - 4800MM;4,8;1,15;5,52
40230;ISOPAINEL ZP100 - 4900MM;4,9;1,15;5,635
40231;ISOPAINEL ZP100 - 5000MM;5;1,15;5,75
40232;ISOPAINEL ZP100 - 5100MM;5,1;1,15;5,865
40233;ISOPAINEL ZP100 - 5200MM;5,2;1,15;5,98
40234;ISOPAINEL ZP100 - 5300MM;5,3;1,15;6,095
40235;ISOPAINEL ZP100 - 5400MM;5,4;1,15;6,21
40236;ISOPAINEL ZP100 - 5500MM;5,5;1,15;6,325
40237;ISOPAINEL ZP100 - 5600MM;5,6;1,15;6,44
40238;ISOPAINEL ZP100 - 5700MM;5,7;1,15;6,555
40239;ISOPAINEL ZP100 - 5800MM;5,8;1,15;6,67
40240;ISOPAINEL ZP100 - 5900MM;5,9;1,15;6,785
40241;ISOPAINEL ZP100 - 6000MM;6;1,15;6,9
40242;ISOPAINEL ZP150 M2;1;1;1
40243;ISOPAINEL ZP150 - 1200MM;1,2;1,15;1,38
40244;ISOPAINEL ZP150 - 1300MM;1,3;1,15;1,495
40245;ISOPAINEL ZP150 - 1400MM;1,4;1,15;1,61
40246;ISOPAINEL ZP150 - 1500MM;1,5;1,15;1,725
40247;ISOPAINEL ZP150 - 1600MM;1,6;1,15;1,84
