EP007V         ;FCDET10 220V      ;1.99;1.13;1.5;284;3.37
EP008G         ;FTG240            ;1.88;1.11;1.39;300;2.9
EP009G         ;FTG10 GAS         ;2.05;1.2;1.66;250;4.08
EP010G         ;AM05 220VNR12     ;0.73;0.53;0.67;52;0.26
EP012G         ;FTE150E 220V      ;0.88;1.11;1.41;195;1.38
EP015V         ;FC4EMV 220V       ;0;0;0;0;0
EP016P         ;PRMQ15 BIVOLT     ;1.13;0.64;0.55;37;0.4
EP017P         ;PRMQ22/1 BIVOLT   ;1.16;0.66;0.68;43;0.52
EP018P         ;PRMQ15/1 BIV NR   ;1.13;0.64;0.55;37;0.4
EP019P         ;PRMQ40/1 BIV NR   ;1.3;0.9;0.7;88;0.82
EP022G         ;FTG5 GAS          ;1.1;1.21;1.58;210;2.11
EP023G         ;FTE5220VTRIF      ;1.1;1.21;1.58;190;2.11
EP024G         ;FFI400            ;0.51;0.75;1.11;42;0.42
EP027G         ;CZ15 220VNR12     ;1.24;0.7;0.68;75;0.59
EP028G         ;CZ37 220VNR12     ;1.53;0.74;0.94;155;1.06
EP029G         ;CZ22 220VNR12     ;1.53;0.74;0.94;122;1.06
EP031G         ;AM15 220VNR12 BIV ;0.93;0.61;0.7;50;0.4
EP045G         ;MFP80 220V        ;1.04;0.33;0.44;28;0.15
EP045I         ;126;0;0;0;0;0
EP047G         ;CSP600 220V       ;1.83;1.2;1;465;2.2
EP049F         ;RF116 220V        ;0;0;0;0;0
EP050F         ;RF120 220V        ;0;0;0;0;0
EP052F         ;CFF40E220V        ;2.25;1.9;0.82;208;3.51
EP052G         ;CC1000I 220V      ;2.2;1.04;1.82;350;4.16
EP052V         ;AC40T 220V        ;2.22;0.83;1.92;247;3.54
EP053V         ;AC20T 220V        ;2.22;0.84;1.12;169.9;2.08
EP054F         ;RF120 220V        ;2.25;0.82;0.95;208;1.75
EP054V         ;ARSV 15NR 220V    ;0;0;0;0;0
EP055          ;FTDG8 220V        ;1.98;1.16;1.45;272.5;3.33
EP055V         ;ARSV 15NR127V     ;0;0;0;0;0
EP057I         ;5512;2;0.77;0.45;12;0.69
EP058M         ;BA1600/600        ;1;16.1;6.4;24;0.1
EP060F         ;RF114 220V        ;2.25;0.75;0.95;150;1.6
EP062F         ;RF114 220V        ;2.25;0.75;0.95;150;1.6
EP063F         ;RF118 220V        ;2.25;0.75;0.95;150;1.6
EP063I         ;70X70X90          ;0;0;0;0;0
EP064I         ;2847;0.2;1.9;0.7;30;0.27
EP066I         ;2848;0.2;1.2;0.7;22;0.17
