8.00;39.00;39.00;5.60
7.00;20.00;57.00;0.70
20.00;24.00;41.00;2.90
20.00;24.00;41.00;3.60
22.00;27.00;42.00;8.30
22.00;27.00;42.00;14.50
35.00;20.00;39.00;4.50
32.00;21.00;40.00;3.90
35.00;20.00;39.00;4.60
20.00;24.00;41.00;3.60
24.00;18.00;19.00;2.40
35.00;20.00;39.00;5.80
28.00;28.00;29.00;7.90
58.00;22.00;23.00;3.80
75.00;25.00;26.00;5.60
32.00;21.00;27.00;3.50
33.00;23.00;27.00;5.20
69.00;40.00;92.00;42.30
88.00;45.00;60.00;43.20
69.00;40.00;92.00;48.00
88.00;45.00;60.00;48.00
83.00;49.00;107.00;82.80
26.00;30.00;52.00;11.00
26.00;30.00;52.00;11.00
83.00;50.00;120.00;89.70
83.00;49.00;107.00;82.00
83.00;50.00;120.00;88.00
7.00;20.00;57.00;2.20
7.00;20.00;57.00;3.60
29.00;26.00;34.00;9.80
29.00;26.00;34.00;13.70
29.00;26.00;46.00;16.00
38.00;44.00;57.00;19.60
44.00;41.00;43.00;15.30
92.00;46.00;62.00;21.30
43.00;29.00;54.00;17.30
92.00;46.00;62.00;13.20
33.00;17.00;17.00;1.60
32.00;21.00;34.00;6.20
96.00;32.00;46.00;10.60
24.00;27.00;35.00;14.90
22.00;23.00;31.00;8.30
31.00;21.00;44.00;7.50
93.00;50.00;80.00;72.00
93.00;50.00;80.00;72.00
93.00;50.00;80.00;70.00
93.00;50.00;80.00;70.00
69.00;43.00;91.00;72.00
69.00;43.00;91.00;72.00
69.00;43.00;91.00;70.00
69.00;43.00;91.00;70.00
93.00;54.00;114.00;113.00
93.00;54.00;114.00;113.00
93.00;54.00;114.00;113.00
93.00;54.00;114.00;113.00
30.00;22.00;49.00;8.10
83.00;52.00;62.00;29.80
29.00;26.00;41.50;1.4
41.00;29.00;62.50;3.00
49.00;36.00;75.50;4.00
65.00;47.50;107.50;8.2
60.00;48.50;93.50;6.5
54.00;39.50;82.50;5.3
41.00;31.00;48.00;2.8
34.50;36.50;74.50;2.7
28.00;30.00;63.50;2.8
120.00;78.50;135.50;20.4
120.00;78.50;135.50;20.4
120.00;78.50;135.50;20.4
89.00;54.50;107.50;12.5
89.50;62.00;66.50;6.4
186.00;80.00;81.00;13.7
189.50;92.00;106.00;17.6
210.00;110.00;123.00;4.4
79.50;63.50;81.00;12.6
46.50;36.00;64.00;3.5
55.50;43.50;88.50;6.00
