EQ028          ;CHAPA LANCHE GAS 4Q CG110                                             ;18;1;ELETRO METALURGICA EDANCA LTDA          ;CG110               
EQ030          ;CHAPA LANCHE GAS 5Q CG130                                             ;18;1;ELETRO METALURGICA EDANCA LTDA          ;CG130               
EQ031E         ;ESTUFA 4B VC ECT4 VERT INM 220V EDANCA                                ;18;1;ELETRO METALURGICA EDANCA LTDA          ;ECT4                
EQ034          ;VITRINE FRIA VC76 GELO X EDANCA                                       ;18;1;ELETRO METALURGICA EDANCA LTDA          ;VC76                
EQ037          ;CHAPA LANCHE GAS 2Q CGP60 PRAT;18;1;ELETRO METALURGICA EDANCA LTDA          ;CGP60               
EQ042          ;ESTUFA 8B VC DP ECPD8 220V PRATA INM EDANCA                           ;18;1;ELETRO METALURGICA EDANCA LTDA          ;ECPD8               
EQ043          ;CHAPA LANCHE EL CE50 220V INM ;18;1;ELETRO METALURGICA EDANCA LTDA          ;CE50                
EQ044          ;CHAPA LANCHE EL CE90 220V INM ;18;1;ELETRO METALURGICA EDANCA LTDA          ;CE90                
EQ045E         ;CHAPA LANCHE GAS 4Q CGP100 PRA;18;1;ELETRO METALURGICA EDANCA LTDA          ;CGP100              
EQ047E         ;ESTUFA 6B VC ECP6 PRATA 110V EDANCA                                   ;18;1;ELETRO METALURGICA EDANCA LTDA          ;ECP6                
EQ048E         ;ESTUFA 6B VC DP ECPD6 110V PRATA EDANCA                               ;18;1;ELETRO METALURGICA EDANCA LTDA          ;ECPD6               
EQ049E         ;ESTUFA 3B VC ECP3 PRATA 110V EDANCA                                   ;18;1;ELETRO METALURGICA EDANCA LTDA          ;ECP3                
EQ052E         ;ESTUFA 6B VR EREVP6 110V                                              ;18;1;ELETRO METALURGICA EDANCA LTDA          ;EREVP6              
EQ053E         ;ESTUFA 9B VR EREVP9 110V                                              ;18;1;ELETRO METALURGICA EDANCA LTDA          ;EREVP9              
EQ056E         ;ESTUFA 5B VR ERE5 ESPECIAL 110;18;1;ELETRO METALURGICA EDANCA LTDA          ;ERE5                
EQ058E         ;ESTUFA 4B ESS SELF SERVICE OUR;18;1;ELETRO METALURGICA EDANCA LTDA          ;ESS4                
EQ059E         ;ESTUFA 9B VC EVCSS SELF SERVICE PLATINA 110V                          ;18;1;ELETRO METALURGICA EDANCA LTDA          ;EVCSS9              
EQ060E         ;ESTUFA 9B VC EVC PLATINA 110V ;18;1;ELETRO METALURGICA EDANCA LTDA          ;EVC9                
EQ063E         ;CHAR BROILER GAS 3Q CBR90 EDAN;18;1;ELETRO METALURGICA EDANCA LTDA          ;CBR90               
EQ225          ;CHAPA LANCHE EL CE110 110X45 220V INM EDANCA                          ;18;1;ELETRO METALURGICA EDANCA LTDA          ;CE110               
EQ259          ;ESTUFA FRIA VCP61 PRATA C/GELO X EDANCA                               ;18;1;ELETRO METALURGICA EDANCA LTDA          ;VCP61               
EQ332E         ;ESTUFA 12B VC DP ECPD12 110V PRATA INM EDANCA                         ;18;1;ELETRO METALURGICA EDANCA LTDA          ;ECPD12              
EQ357E         ;ESTUFA 6B VC DP EVC6 VERT 110V;18;1;ELETRO METALURGICA EDANCA LTDA          ;EVC6                
EQ402          ;CHAPA LANCHE SCG110 C/ PRENSA ;18;1;ELETRO METALURGICA EDANCA LTDA          ;SCG110              
EQ403E         ;ESTUFA 6B SS EVCSS6 220V INM EDANCA                                   ;18;1;ELETRO METALURGICA EDANCA LTDA          ;EVCSS6              
EQ410          ;CHAPA LANCHE EL CE70 220V INM ;18;1;ELETRO METALURGICA EDANCA LTDA          ;CE70                
EQ536E         ;CHAR BROILER GAS 2Q CBRP70FF EDANCA                                   ;18;1;ELETRO METALURGICA EDANCA LTDA          ;CBRP70FF            
EQ645E         ;CHAPA BIFETEIRA GAS 5Q CGB120 EDANCA                                  ;18;1;ELETRO METALURGICA EDANCA LTDA          ;CGB120              
EP062G         ;CAMARA CLIMAT 1200 GCTP 220V GELOPAR                                  ;28;1;GELOPAR - REF. PARANAENSE LTDA          ;GCTP1200            
IC002G         ;BALCAO PLACA 075 VSC GBUP 220V GELOPAR                                ;28;1;GELOPAR - REF. PARANAENSE LTDA          ;GBUP075T            
IC039G         ;BALCAO CONF 140 VSC GBSP 220V GELOPAR                                 ;28;1;GELOPAR - REF. PARANAENSE LTDA          ;GBSP140T            
IC040G         ;BALCAO CONF 075 VC GEPV 220V VITALIS GELOPAR                          ;28;1;GELOPAR - REF. PARANAENSE LTDA          ;GEPV-075            
IC050G         ;BALCAO SECO 075 VSC MVSP GELOP;28;1;GELOPAR - REF. PARANAENSE LTDA          ;MVSP075T            
IC051G         ;VITRINE NEUTRA MPNV-140AM PRAT VITALIS                                ;28;1;GELOPAR - REF. PARANAENSE LTDA          ;MPNV140CZ           
IC052G         ;BALCAO SECO 175 VC MPNV GELOPAR                                       ;28;1;GELOPAR - REF. PARANAENSE LTDA          ;MPNV175             
IC053G         ;BALCAO CAIXA 080 MPXV GELOPAR ;28;1;GELOPAR - REF. PARANAENSE LTDA          ;MPXV080             
IC254G         ;AUTO SERV ABERTO 130 GSTO 110V                                        ;28;1;GELOPAR - REF. PARANAENSE LTDA          ;GSTO130AM           
IC255G         ;AUTO SERV ABERTO 130 GSTO 220V                                        ;28;1;GELOPAR - REF. PARANAENSE LTDA          ;GSTO130AM           
IC256G         ;AUTO SERV ABERTO 240 GSHF 220V                                        ;28;1;GELOPAR - REF. PARANAENSE LTDA          ;GSHF240             
IC285G         ;BALCAO 2 PLACA 205 VC 110V GBDF C/ ILUM LED GELOPA                    ;28;1;GELOPAR - REF. PARANAENSE LTDA          ;GBDF205T            
IC985G         ;BALCAO TENDAL 210 GCPCD 220V GELOPAR                                  ;28;1;GELOPAR - REF. PARANAENSE LTDA          ;GCPC210D            
IC987G         ;BALCAO TENDAL 310 GCPCD 220V GELOPAR                                  ;28;1;GELOPAR - REF. PARANAENSE LTDA          ;GCPCD310D           
LB020G         ;CONG VERT 575 PC GTPC 220V C/ GRADES INTERNAS                         ;28;1;GELOPAR - REF. PARANAENSE LTDA          ;GTPC575             
