VTRD-122;114.00;123.00;675.00;103.00;Conservex
VTRD-180;114.00;178.00;675.00;142.00;Conservex
CCP1-G;36.00;37.00;77.00;28.00;Croydon
CCP2-G;36.00;61.00;78.00;20.00;Croydon
CCP2-PEÇAS;14.00;29.00;51.00;0.00;Croydon
CCP3-G;37.00;79.00;85.00;62.00;Croydon
CCP3-PEÇAS;17.00;29.00;51.00;0.00;Croydon
CCP4-G;37.00;79.00;109.00;79.00;Croydon
CCP4-PEÇAS;20.00;29.00;51.00;0.00;Croydon
CCR1-G;36.00;37.00;77.00;19.00;Croydon
CCR2-G;36.00;61.00;78.00;42.00;Croydon
CCR2-PEÇAS;14.00;29.00;51.00;0.00;Croydon
CCR3-G;37.00;79.00;85.00;56.00;Croydon
CCR3-PEÇAS;17.00;29.00;51.00;0.00;Croydon
CCR4-G;37.00;79.00;109.00;73.00;Croydon
CCR4-PEÇAS;20.00;29.00;51.00;0.00;Croydon
CE03-2;30.00;44.00;54.00;16.00;Croydon
CE04-2;31.00;59.00;63.00;22.00;Croydon
CE04-2T;37.00;50.00;62.00;34.00;Croydon
CE06-2;31.00;59.00;75.00;32.00;Croydon
CE08-2;31.00;68.00;100.00;48.00;Croydon
CE10-2;31.00;68.00;110.00;58.00;Croydon
CE10-2T;37.00;70.00;110.00;71.00;Croydon
CRPG-G;23.00;39.00;42.00;16.00;Croydon
CRPP;25.00;39.00;42.00;11.00;Croydon
ELAB;31.00;22.00;37.00;6.00;Croydon
ELAC;36.00;23.00;37.00;6.00;Croydon
ELEA;39.00;26.00;37.00;9.00;Croydon
ELID;31.00;22.00;37.00;6.00;Croydon
ELII;39.00;26.00;37.00;6.00;Croydon
F1AB;36.00;51.00;54.00;10.00;Croydon
F1AG;29.00;28.00;51.00;5.00;Croydon
F1BG;29.00;36.00;51.00;6.00;Croydon
F2AG;29.00;46.00;52.00;8.00;Croydon
F2BG;30.00;52.00;63.00;9.00;Croydon
F3AG;30.00;52.00;63.00;10.00;Croydon
FA1B;33.00;32.00;56.00;5.00;Croydon
FA25;100.00;49.00;61.00;20.00;Croydon
FA28;100.00;49.00;61.00;21.00;Croydon
FAM3;52.00;50.00;61.00;14.00;Croydon
FAM5;52.00;50.00;61.00;15.00;Croydon
FC1A;36.00;27.00;50.00;6.00;Croydon
FC1B;37.00;37.00;51.00;6.00;Croydon
FC2A;36.00;45.00;51.00;9.00;Croydon
FC2B;36.00;51.00;62.00;11.00;Croydon
FC3A;36.00;51.00;62.00;12.00;Croydon
FG04;24.00;51.00;54.00;17.00;Croydon
FG06;24.00;57.00;75.00;27.00;Croydon
FG08;27.00;63.00;97.00;38.00;Croydon
FG10;27.00;63.00;115.00;48.00;Croydon
FG13;28.00;69.00;147.00;72.00;Croydon
FG15;28.00;69.00;168.00;81.00;Croydon
FH1A;36.00;30.00;55.00;6.00;Croydon
FH1B;36.00;40.00;56.00;7.00;Croydon
FH2A;35.00;50.00;55.00;11.00;Croydon
FH2B;36.00;51.00;62.00;14.00;Croydon
FO25;36.00;49.00;60.00;11.00;Croydon
FO28;36.00;49.00;60.00;11.00;Croydon
FOGAO 2B;36.00;61.00;89.00;0.00;Croydon
FOGAO 3B;36.00;62.00;127.00;0.00;Croydon
FOGAO 4B;36.00;91.00;99.00;0.00;Croydon
FOGAO 6B;36.00;99.00;130.00;0.00;Croydon
FRG4;170.00;54.00;115.00;96.00;Croydon
FRG6;170.00;54.00;115.00;105.00;Croydon
FGLC-INOX;46.00;77.00;75.00;32.00;Croydon
H061-2;195.50;106.00;102.00;221.00;Croydon
H101-G;194.00;106.00;101.00;269.00;Croydon
H101-2;190.50;105.50;101.00;240.00;Croydon
LC06-B;43.00;26.00;52.00;12.00;Croydon
LC08-B;42.00;26.00;52.00;13.00;Croydon
LD02;36.00;25.00;42.00;10.00;Croydon
LD04;36.00;25.00;42.00;10.00;Croydon
LD06;41.00;26.00;42.00;10.00;Croydon
LD08;47.00;26.00;42.00;11.00;Croydon
LD10;54.00;26.00;42.00;11.00;Croydon
LR02;39.00;26.00;37.00;10.00;Croydon
LR04;42.00;26.00;53.00;11.00;Croydon
MCSS;25.00;39.00;42.00;12.00;Croydon
MPED;18.00;49.00;95.00;32.00;Croydon
MPES;18.00;49.00;95.00;18.00;Croydon
MPGD;18.00;49.00;95.00;33.00;Croydon
MPGS;21.00;49.00;54.00;18.00;Croydon
MWQD;22.00;48.00;80.00;20.00;Croydon
MWQS;25.00;39.00;42.00;10.00;Croydon
MWRD;22.00;48.00;80.00;14.00;Croydon
MWRS;25.00;39.00;42.00;7.00;Croydon
PFGG;10.00;41.00;52.00;5.00;Croydon
RACO;64.00;37.00;63.00;21.00;Croydon
RDCO;64.00;65.00;70.00;37.00;Croydon
RSDJ;72.00;51.00;62.00;30.00;Croydon
RSDM;72.00;51.00;62.00;29.00;Croydon
RSDP;72.00;51.00;62.00;28.00;Croydon
RSSJ;73.00;31.00;63.00;20.00;Croydon
RSSP;73.00;31.00;63.00;19.00;Croydon
SACE;31.00;53.00;89.00;25.00;Croydon
SACE-G;30.00;53.00;80.00;25.00;Croydon
SACL;31.00;53.00;89.00;24.00;Croydon
SACL-G;30.00;53.00;80.00;21.00;Croydon
SACQ;31.00;53.00;89.00;25.00;Croydon
SACQ-G;30.00;53.00;80.00;23.00;Croydon
SADE;30.00;53.00;89.00;33.00;Croydon
SADE-G;30.00;53.00;80.00;29.00;Croydon
SADL;30.00;53.00;89.00;31.00;Croydon
SADL-G;30.00;53.00;80.00;26.00;Croydon
SADQ;30.00;53.00;89.00;35.00;Croydon
SADQ-G;30.00;53.00;80.00;26.00;Croydon
SAFF;25.00;39.00;42.00;9.00;Croydon
SASE;31.00;47.00;53.00;18.00;Croydon
SASE-G;30.00;43.00;53.00;15.00;Croydon
SASL;31.00;47.00;53.00;17.00;Croydon
SASL-G;30.00;43.00;53.00;14.00;Croydon
SASQ;31.00;47.00;53.00;19.00;Croydon
SASQ-G;30.00;43.00;53.00;15.00;Croydon
SCGE;31.00;67.00;110.00;37.00;Croydon
SCGE-G;30.00;68.00;98.00;36.00;Croydon
SCGL;31.00;67.00;110.00;36.00;Croydon
SCGL-G;30.00;68.00;98.00;39.00;Croydon
SFSE;31.00;46.00;53.00;26.00;Croydon
SFSE-G;31.00;46.00;53.00;27.00;Croydon
SFSL;31.00;46.00;53.00;21.00;Croydon
SFSL-G;31.00;46.00;53.00;24.00;Croydon
SLA2;39.00;26.00;37.00;6.00;Croydon
SPSE;25.00;39.00;42.00;10.00;Croydon
SPSL;25.00;39.00;42.00;9.00;Croydon
SSGE;31.00;57.00;66.00;28.00;Croydon
SSGE-G;32.00;49.00;64.00;39.00;Croydon
SSGL;31.00;57.00;66.00;26.00;Croydon
SSGL-G;32.00;49.00;64.00;22.00;Croydon
TFAP;33.00;50.00;54.00;6.00;Croydon
TFGC;37.00;50.00;54.00;8.00;Croydon
TFSL;25.00;50.00;54.00;7.00;Croydon
TPID;88.00;64.00;66.00;13.00;Croydon
CBR 110 ;21.00;55.30;49.50;72.76;Edanca
CBR 50 ;58.00;71.00;27.50;35.41;Edanca
CBR 70 ;58.00;91.00;27.50;48.15;Edanca
CBR 90 ;58.00;111.00;27.50;61.68;Edanca
CE - 110 ;25.00;113.00;50.00;39.22;Edanca
CE - 130;28.00;144.00;50.00;45.72;Edanca
CE - 70;23.00;74.00;53.00;26.25;Edanca
CE - 90 ;23.00;94.00;53.00;32.72;Edanca
CE- 50;21.00;55.30;49.50;17.50;Edanca
CEP-60;21.00;65.00;47.00;18.00;Edanca
CG - 110 ;28.00;144.00;50.00;36.80;Edanca
CG - 130;21.00;55.30;49.50;41.80;Edanca
CG - 50;23.00;74.00;53.00;21.80;Edanca
CG - 70 ;23.00;94.00;53.00;26.80;Edanca
CG - 90 ;25.00;113.00;50.00;31.80;Edanca
CGB - 100;25.00;132.00;63.50;34.48;Edanca
CGB - 120 ;25.00;164.50;63.50;40.87;Edanca
CGB - 150;20.00;65.00;60.00;45.87;Edanca
CGB - 60;20.00;85.00;60.00;23.20;Edanca
CGB - 80;25.00;110.00;63.50;28.48;Edanca
CGP - 100 ;23.00;49.00;46.00;27.16;Edanca
CGP - 40 ;21.00;65.00;47.00;12.25;Edanca
CGP - 60 ;21.00;86.00;44.00;16.93;Edanca
CGP - 80 ;19.00;106.00;46.00;21.93;Edanca
EC 2;39.00;48.00;40.50;6.87;Edanca
EC 3 ;39.00;48.00;40.50;8.87;Edanca
EC 4 ;38.50;62.00;40.50;10.87;Edanca
EC 5 ;38.50;76.50;40.50;12.46;Edanca
EC 6 ;38.50;91.00;40.50;14.07;Edanca
ECD 10;38.50;76.50;40.50;13.65;Edanca
ECD 12 ;38.50;91.00;40.50;15.30;Edanca
ECD 4 ;39.00;48.00;40.50;7.27;Edanca
ECD 6;39.00;48.00;40.50;9.47;Edanca
ECD 8 ;38.50;62.00;40.50;11.67;Edanca
ECE 3;45.00;60.00;44.00;14.74;Edanca
ECE 4;45.00;82.00;44.00;16.67;Edanca
ECE 5;45.00;97.00;44.00;18.61;Edanca
ECE 6;45.00;122.00;44.00;20.52;Edanca
ECE1PP;45.00;60.00;44.00;14.64;Edanca
ECE1PP2;45.00;122.00;44.00;20.22;Edanca
ECE1PP3;45.00;60.00;44.00;15.24;Edanca
ECE1PP4;45.00;82.00;44.00;17.17;Edanca
ECE2PP;45.00;82.00;44.00;16.87;Edanca
ECE2PP2;45.00;97.00;44.00;19.61;Edanca
ECE3PP;45.00;97.00;44.00;19.11;Edanca
ECED 10;45.00;97.00;44.00;19.61;Edanca
ECED 12;45.00;122.00;44.00;21.72;Edanca
ECED 6;45.00;60.00;44.00;15.34;Edanca
ECED 8;45.00;82.00;44.00;17.47;Edanca
ECED1PP10;45.00;82.00;44.00;24.39;Edanca
ECED1PP6;45.00;122.00;44.00;20.52;Edanca
ECED1PP8;45.00;60.00;44.00;22.45;Edanca
ECEDSS10;45.00;97.00;44.00;19.61;Edanca
ECEDSS12;45.00;122.00;44.00;21.72;Edanca
ECEDSS6;45.00;60.00;44.00;15.34;Edanca
ECEDSS8;45.00;82.00;44.00;17.47;Edanca
ECESS3;45.00;60.00;44.00;14.74;Edanca
ECESS4;45.00;82.00;44.00;16.67;Edanca
ECESS5;45.00;97.00;44.00;18.61;Edanca
ECESS6;45.00;122.00;44.00;20.52;Edanca
ECP 3;39.00;48.00;40.50;7.25;Edanca
ECP 4;38.50;62.00;40.50;8.76;Edanca
ECP 5;38.50;76.50;40.50;11.03;Edanca
ECP 6;38.50;91.00;40.50;13.03;Edanca
ECPD 10;38.50;76.50;40.50;12.40;Edanca
ECPD 12;38.50;91.00;40.50;15.23;Edanca
ECPD 6;39.00;48.00;40.50;7.85;Edanca
ECPD 8;38.50;62.00;40.50;9.56;Edanca
ECT 4 ;63.00;68.00;52.00;20.61;Edanca
ECT 8 ;63.00;68.00;52.00;21.41;Edanca
ECTSS4;63.00;68.00;52.00;20.61;Edanca
ECTSS8;63.00;68.00;52.00;21.41;Edanca
EREVO6;63.00;52.50;50.00;13.53;Edanca
EREVO9;84.00;52.50;50.00;16.82;Edanca
EREVP6;63.00;52.50;50.00;13.00;Edanca
EREVP9;84.00;52.50;50.00;15.84;Edanca
ESS3;39.00;48.00;40.50;11.22;Edanca
ESS4;38.50;62.00;40.50;14.01;Edanca
ESS5;38.50;76.50;40.50;16.58;Edanca
ESS6;38.50;91.00;40.50;18.81;Edanca
EVC 6;63.00;52.50;50.00;16.85;Edanca
EVC 9;84.00;52.50;50.00;21.33;Edanca
EVC1P3;63.00;52.50;50.00;16.75;Edanca
EVC1P6;84.00;52.50;50.00;21.23;Edanca
EVC1PP6;84.00;52.50;50.00;21.23;Edanca
EVC1PP-6SS;63.00;68.00;52.00;21.23;Edanca
EVCSS1P6;84.00;52.50;50.00;21.23;Edanca
EVCSS6;63.00;52.50;50.00;16.85;Edanca
EVCSS9;84.00;52.50;50.00;21.33;Edanca
SCE - 110 ;25.00;113.00;50.00;43.30;Edanca
SCE - 130 ;28.00;144.00;50.00;49.80;Edanca
SCE - 70;23.00;74.00;53.00;30.33;Edanca
SCE - 90 ;23.00;94.00;53.00;36.80;Edanca
SCEP-60;21.00;65.00;47.00;21.40;Edanca
SCG - 110 ;28.00;144.00;50.00;41.87;Edanca
SCG - 130 ;20.00;65.00;60.00;46.87;Edanca
SCG - 70;23.00;94.00;53.00;30.88;Edanca
SCG - 90;25.00;113.00;50.00;36.87;Edanca
SCGB - 100 ;25.00;132.00;63.50;36.95;Edanca
SCGB - 120;25.00;164.50;63.50;41.95;Edanca
SCGB - 150 ;58.00;51.00;27.50;46.95;Edanca
EVC1P3;84.00;52.50;50.00;0.00;Edanca
SCGB - 60 ;20.00;85.00;60.00;26.95;Edanca
SCGB - 80;25.00;110.00;63.50;31.95;Edanca
SCGP - 100;21.00;55.30;49.50;30.85;Edanca
SCGP - 60;21.00;86.00;44.00;20.40;Edanca
SCGP - 80;19.00;106.00;46.00;25.85;Edanca
SSE - 50 ;21.00;55.30;49.50;21.58;Edanca
SSG - 50;23.00;74.00;53.00;25.88;Edanca
SSGP - 40;21.00;65.00;47.00;15.40;Edanca
VC 32 ;39.00;48.00;40.50;8.44;Edanca
VC 47;39.00;48.00;40.50;11.22;Edanca
VC 61 ;38.50;62.00;40.50;14.01;Edanca
VC 76 ;38.50;76.50;40.50;16.39;Edanca
VC 90 ;38.50;91.00;40.50;18.78;Edanca
VCD 32 ;39.00;48.00;40.50;8.44;Edanca
VCD 47;39.00;48.00;40.50;11.22;Edanca
VCD 61 ;38.50;62.00;40.50;14.01;Edanca
VCD 76 ;38.50;76.50;40.50;16.58;Edanca
VCD 90 ;38.50;91.00;40.50;18.81;Edanca
VCE3;45.00;60.00;44.00;18.08;Edanca
VCE4;45.00;82.00;44.00;20.80;Edanca
VCE5;45.00;97.00;44.00;23.52;Edanca
VCE6;45.00;122.00;44.00;28.19;Edanca
VCED10;45.00;97.00;44.00;28.44;Edanca
VCED12;45.00;122.00;44.00;35.08;Edanca
VCED6;45.00;60.00;44.00;22.02;Edanca
VCED8;45.00;82.00;44.00;24.74;Edanca
VCEDSS10;45.00;97.00;44.00;27.46;Edanca
